,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0
0.25,[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.],"[ 0.24790645 -0.08375824  0.          0.          0.          0.
  0.          0.        ]","[ 3.32173052 -1.13935194  0.          0.          0.          0.
  0.          0.        ]","[16.91391489 -5.74944855  0.          0.          0.          0.
  0.          0.        ]","[ 32.38735905 -10.87847192   0.           0.           0.
   0.           0.           0.        ]","[25.49200394 -8.51471983  0.          0.          0.          0.
  0.          0.        ]","[ 8.9620066  -2.99547933  0.          0.          0.          0.
  0.          0.        ]","[ 1.73302505 -0.58778479  0.          0.          0.          0.
  0.          0.        ]"
0.5,"[ 0.03602281 -0.00230022  0.          0.          0.          0.
  0.          0.        ]","[ 0.36857333 -0.02602482  0.          0.          0.          0.
  0.          0.        ]","[ 2.33489537 -0.06402424  0.          0.          0.          0.
  0.          0.        ]","[ 8.7751727  -0.26221823  0.          0.          0.          0.
  0.          0.        ]","[20.39348435 -0.31481156  0.          0.          0.          0.
  0.          0.        ]","[30.25463866 -0.13264494  0.          0.          0.          0.
  0.          0.        ]","[29.37187183  0.12529332  0.          0.          0.          0.
  0.          0.        ]","[19.38733316  0.18849311  0.          0.          0.          0.
  0.          0.        ]","[9.72706727 0.12147966 0.         0.         0.         0.
 0.         0.        ]"
0.75,"[0.24559736 0.04583284 0.03846001 0.         0.         0.
 0.         0.        ]","[1.2634696  0.23831527 0.2390753  0.         0.         0.
 0.         0.        ]","[4.20599753 0.83936688 0.8429437  0.         0.         0.
 0.         0.        ]","[9.93412202 2.17679769 2.16873491 0.         0.         0.
 0.         0.        ]","[17.93457863  4.20889196  4.15347447  0.          0.          0.
  0.          0.        ]","[24.13240719  6.16142447  5.98748312  0.          0.          0.
  0.          0.        ]","[24.92620504  6.71274474  6.4393465   0.          0.          0.
  0.          0.        ]","[20.36194038  5.61668117  5.29689292  0.          0.          0.
  0.          0.        ]","[13.63489086  3.80496178  3.56088542  0.          0.          0.
  0.          0.        ]"
1.0,"[0.63554555 0.12032925 0.22869739 0.10739826 0.         0.
 0.         0.        ]","[2.1473039  0.42044038 0.80015042 0.35714975 0.         0.
 0.         0.        ]","[5.28415726 1.02945455 2.1397626  1.00272136 0.         0.
 0.         0.        ]","[10.23522682  2.1366193   4.50947071  2.13336126  0.          0.
  0.          0.        ]","[16.04000775  3.72492969  7.65452804  3.65796527  0.          0.
  0.          0.        ]","[20.75375041  5.09256443 10.33925007  5.05869812  0.          0.
  0.          0.        ]","[22.03203302  5.70151049 11.37272669  5.62975275  0.          0.
  0.          0.        ]","[19.6774073   5.17076076 10.44063178  5.19425027  0.          0.
  0.          0.        ]","[15.43893408  4.10164789  8.1029456   4.05208202  0.          0.
  0.          0.        ]"
1.25,"[1.10959865 0.2329588  0.43789082 0.39009428 0.18537352 0.
 0.         0.        ]","[2.92665544 0.57393151 1.16164472 1.08885494 0.5137722  0.
 0.         0.        ]","[5.84678716 1.20185834 2.50694973 2.41638638 1.11976602 0.
 0.         0.        ]","[10.06627827  2.28479539  4.56816345  4.47005673  2.15534005  0.
  0.          0.        ]","[14.87770232  3.39178126  6.95890161  6.95711402  3.41185235  0.
  0.          0.        ]","[18.37663463  4.53307118  9.07536874  9.21220042  4.51406757  0.
  0.          0.        ]","[19.89997696  5.01520051 10.05833878 10.42746805  5.13102948  0.
  0.          0.        ]","[18.86854396  4.8384528   9.68525071 10.0305836   5.08273615  0.
  0.          0.        ]","[15.94656169  4.15911573  8.25230017  8.65063546  4.40256963  0.
  0.          0.        ]"
1.5,"[1.4828024  0.28528671 0.61591191 0.58885815 0.52230824 0.23993172
 0.         0.        ]","[3.33934573 0.69558361 1.42954873 1.37518757 1.26461976 0.56998826
 0.         0.        ]","[6.19982973 1.28857538 2.70714746 2.67670318 2.52982316 1.16243938
 0.         0.        ]","[9.90607299 2.21496899 4.47212958 4.45085994 4.26645303 1.99339666
 0.         0.        ]","[13.48519357  3.17586699  6.52362756  6.44867553  6.30702193  3.03729271
  0.          0.        ]","[16.48365483  4.10320618  8.22850158  8.23173109  8.32237278  4.08523419
  0.          0.        ]","[17.91444988  4.59597226  9.16499869  9.23085999  9.55298819  4.78348399
  0.          0.        ]","[17.48591754  4.61056581  9.0876249   9.28477315  9.66493035  4.88388866
  0.          0.        ]","[15.87178262  4.12920104  8.18464787  8.43770474  8.66612951  4.31547138
  0.          0.        ]"
1.75,"[1.92005755 0.39397318 0.80044066 0.77017785 0.70666744 0.64619019
 0.28723296 0.        ]","[3.66761875 0.70663197 1.59514111 1.55158388 1.44139194 1.32558635
 0.60750677 0.        ]","[6.23548947 1.43700905 2.84384285 2.7527275  2.63918329 2.45764535
 1.18780986 0.        ]","[9.25136951 2.16938148 4.35794708 4.33572136 4.18758922 3.97377299
 1.94957768 0.        ]","[12.4084889   3.03294934  5.97731227  6.02472125  5.90559527  5.74149347
  2.87451453  0.        ]","[15.1554838   3.67891285  7.45461511  7.60651967  7.51130764  7.52674603
  3.82288674  0.        ]","[16.4678506   4.37773845  8.2696548   8.52393558  8.51212109  8.7054448
  4.46294323  0.        ]","[16.6032419   4.20637898  8.41142674  8.69296757  8.8181685   9.10420108
  4.76642608  0.        ]","[15.28326734  4.00409291  7.93041532  8.19652392  8.34187821  8.57579424
  4.40234269  0.        ]"
2.0,"[2.17843737 0.42790866 0.93819819 0.91646542 0.86794514 0.79307557
 0.70904124 0.30818265]","[3.97039656 0.78635882 1.71221919 1.65691781 1.63470969 1.52273589
 1.43620239 0.63128667]","[6.19699791 1.397472   2.84484695 2.75081728 2.65923719 2.53483322
 2.48943478 1.11590553]","[8.96030927 2.09965556 4.28914914 4.21071742 4.05847895 3.94304569
 3.89057805 1.79555693]","[11.69152527  2.78281133  5.61589053  5.68749533  5.64427609  5.54893321
  5.4859035   2.61020607]","[13.82936096  3.43512859  6.90169389  7.00001209  7.07295572  7.00435943
  7.17233299  3.46710983]","[15.14456356  3.97479578  7.72442239  7.79119035  8.01546861  8.02263267
  8.33115098  4.20074379]","[15.44677117  4.02643423  7.93501001  8.13946447  8.36723358  8.47033997
  8.88477212  4.45821424]","[14.86818124  3.8681981   7.65070838  7.87782934  7.97948427  8.26477076
  8.59762584  4.25627014]"
