,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0
0.25,[0.],[0.],[0.00247242],[0.06542332],[0.68230439],[3.40731604],[9.55357194],[18.28331937],[27.94211]
0.5,[0.0005877],[0.00687834],[0.06534941],[0.39054997],[1.55267594],[4.50666665],[9.85909125],[17.37909379],[26.23914169]
0.75,[0.0080499],[0.04990086],[0.23397574],[0.80609514],[2.26704796],[5.22919704],[10.12903191],[16.88841025],[24.99939046]
1.0,[0.0292028],[0.12719161],[0.42682155],[1.1851415],[2.8139412],[5.75390929],[10.32768857],[16.52597938],[24.0325712]
1.25,[0.07196653],[0.24332523],[0.66590403],[1.59234828],[3.34242756],[6.25722661],[10.57963756],[16.33691998],[23.32929142]
1.5,[0.13422945],[0.37525067],[0.91116246],[1.95296383],[3.76296902],[6.62083961],[10.73358181],[16.15537434],[22.750239]
1.75,[0.21947631],[0.52832798],[1.14846842],[2.26970128],[4.10916405],[6.91737718],[10.87418277],[16.00103664],[22.25426961]
2.0,[0.30477946],[0.68064201],[1.37381989],[2.55392224],[4.43037181],[7.19179416],[10.99367099],[15.89185284],[21.843744]
