,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0
0.25,[0.],[0.],[0.00160445],[0.07432951],[0.82821299],[3.82343851],[9.97843458],[18.47936738],[27.99425526]
0.5,[5.68251065e-05],[0.00206431],[0.04485958],[0.39273838],[1.73913649],[4.98604168],[10.4760525],[17.87278862],[26.52027249]
0.75,[0.00109816],[0.01689608],[0.15997279],[0.76000842],[2.41644334],[5.68372518],[10.79542345],[17.54238396],[25.47579768]
1.0,[0.0037811],[0.04678639],[0.28569569],[1.07390341],[2.89848012],[6.15119677],[10.97745459],[17.2370991],[24.62416988]
1.25,[0.01042177],[0.09188987],[0.43430345],[1.38484227],[3.33126066],[6.55150506],[11.14743692],[17.0177278],[23.93159042]
1.5,[0.02276023],[0.14337645],[0.5778942],[1.64104928],[3.63114019],[6.79048739],[11.18552935],[16.74876938],[23.29965599]
1.75,[0.03881011],[0.20398946],[0.70675599],[1.83819037],[3.85170699],[6.95609694],[11.18636549],[16.46298522],[22.67803893]
2.0,[0.05788544],[0.26032202],[0.83147742],[2.01933633],[4.06297814],[7.10002135],[11.17381125],[16.2205345],[22.13722727]
