,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0
0.25,[-4.61804255e-07],[-6.33835562e-05],[-0.0009314],[-0.007474],[-0.02459505],[-0.02370506],[-0.02393518],[-0.00999275],[0.00057876]
0.5,[-2.3581791e-06],[-0.00112104],[-0.00338822],[-0.0023768],[-0.00868428],[0.00488936],[0.00191975],[-0.00604893],[-0.00094949]
0.75,[0.00037041],[0.00178717],[0.01186859],[0.01568712],[0.01844997],[0.01114807],[0.0124139],[0.02136437],[0.0218907]
1.0,[-0.00092309],[0.00025996],[0.00126423],[-0.001279],[-0.00070511],[-0.00885904],[-0.0084592],[0.00279801],[0.01668287]
1.25,[-0.00067119],[0.00417745],[0.0082404],[0.0228254],[0.03695185],[0.04281253],[0.04494211],[0.05123649],[0.06372801]
1.5,[-0.00072901],[0.00025308],[0.00961735],[0.02363712],[0.02987997],[0.0276842],[0.02791702],[0.04888257],[0.09105597]
1.75,[0.00400563],[-0.00021273],[-0.00020791],[0.00316401],[-0.00447053],[-0.00592404],[0.01224709],[0.03113398],[0.09573733]
2.0,[-0.00485218],[-0.01232685],[-0.02089538],[-0.0298847],[-0.03015837],[-0.02824256],[-0.01276973],[0.02463885],[0.1027085]
