,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0
0.25,[-4.61804255e-07],[-6.33835562e-05],[-0.00172046],[0.00062255],[0.10804912],[0.3545881],[0.36230359],[0.1682327],[0.04798354]
0.5,[-0.00048497],[-0.00549742],[-0.02201534],[-0.00038734],[0.16082531],[0.44068485],[0.56279361],[0.44276455],[0.25462397]
0.75,[-0.00594936],[-0.02821718],[-0.05540682],[-0.0262099],[0.15426395],[0.42435546],[0.61822439],[0.61588593],[0.45498818]
1.0,[-0.02403373],[-0.07283569],[-0.12703201],[-0.10240453],[0.07614845],[0.3523114],[0.58223718],[0.64927049],[0.55449985]
1.25,[-0.05662097],[-0.13349106],[-0.20230558],[-0.16581642],[0.02680012],[0.3103384],[0.56112335],[0.67015268],[0.61127256]
1.5,[-0.10206466],[-0.21054167],[-0.2933538],[-0.25992157],[-0.08996442],[0.18190946],[0.43877843],[0.5883326],[0.59052596]
1.75,[-0.16023636],[-0.29506592],[-0.40176467],[-0.38911863],[-0.2385224],[0.02927575],[0.29604956],[0.45108724],[0.48098217]
2.0,[-0.22930128],[-0.39443593],[-0.51393399],[-0.5158719],[-0.36415262],[-0.11167239],[0.15099414],[0.32344036],[0.36951147]
